,charge,0
0,-99.5,0.0
1,-98.5,0.0
2,-97.5,0.0
3,-96.5,0.0
4,-95.5,0.0
5,-94.5,0.0
6,-93.5,0.0
7,-92.5,0.0
8,-91.5,0.0
9,-90.5,0.0
10,-89.5,0.0
11,-88.5,0.0
12,-87.5,0.0
13,-86.5,0.0
14,-85.5,0.0
15,-84.5,0.0
16,-83.5,0.0
17,-82.5,0.0
18,-81.5,0.0
19,-80.5,0.0
20,-79.5,0.0
21,-78.5,0.0
22,-77.5,0.0
23,-76.5,0.0
24,-75.5,0.0
25,-74.5,0.0
26,-73.5,0.0
27,-72.5,0.0
28,-71.5,0.0
29,-70.5,0.0
30,-69.5,0.0
31,-68.5,0.0
32,-67.5,0.0
33,-66.5,0.0
34,-65.5,0.0
35,-64.5,0.0
36,-63.5,0.0
37,-62.5,0.0
38,-61.5,0.0
39,-60.5,0.0
40,-59.5,0.0
41,-58.5,0.0
42,-57.5,0.0
43,-56.5,0.0
44,-55.5,0.0
45,-54.5,0.0
46,-53.5,0.0
47,-52.5,0.0
48,-51.5,0.0
49,-50.5,0.0
50,-49.5,0.0
51,-48.5,0.0
52,-47.5,0.0
53,-46.5,0.0
54,-45.5,0.0
55,-44.5,0.0
56,-43.5,0.0
57,-42.5,0.0
58,-41.5,0.0
59,-40.5,0.0
60,-39.5,0.0
61,-38.5,0.0
62,-37.5,0.0
63,-36.5,0.0
64,-35.5,0.0
65,-34.5,0.0
66,-33.5,0.0
67,-32.5,0.0
68,-31.5,0.000135
69,-30.5,0.000359
70,-29.5,0.0005679999999999
71,-28.5,0.000373
72,-27.5,0.0
73,-26.5,0.0
74,-25.5,0.000359
75,-24.5,0.00039
76,-23.5,6.3e-05
77,-22.5,0.0
78,-21.5,0.0
79,-20.5,0.0
80,-19.5,0.000146
81,-18.5,0.000318
82,-17.5,8e-05
83,-16.5,0.0
84,-15.5,0.000437
85,-14.5,0.000716
86,-13.5,0.000167
87,-12.5,0.0
88,-11.5,0.000262
89,-10.5,0.0006389999999999
90,-9.5,0.000178
91,-8.5,0.00047
92,-7.5,0.0
93,-6.5,0.0
94,-5.5,4.4e-05
95,-4.5,0.000664
96,-3.5,0.001077
97,-2.5,0.00107
98,-1.5,0.000752
99,-0.5,0.0003129999999999
100,0.5,0.0
101,1.5,0.0
102,2.5,0.0
103,3.5,9.9e-05
104,4.5,0.00045
105,5.5,0.0008349999999999
106,6.5,0.001029
107,7.5,0.000914
108,8.5,0.001001
109,9.5,0.001448
110,10.5,0.000745
111,11.5,0.0008539999999999
112,12.5,0.001341
113,13.5,0.001513
114,14.5,0.001121
115,15.5,0.000973
116,16.5,0.001495
117,17.5,0.001166
118,18.5,0.000627
119,19.5,0.001153
120,20.5,0.001499
121,21.5,0.001565
122,22.5,0.00166
123,23.5,0.00181
124,24.5,0.001967
125,25.5,0.0020859999999999
126,26.5,0.002118
127,27.5,0.002037
128,28.5,0.001889
129,29.5,0.001743
130,30.5,0.0016649999999999
131,31.5,0.00168
132,32.5,0.0016489999999999
133,33.5,0.001465
134,34.5,0.001302
135,35.5,0.001343
136,36.5,0.001521
137,37.5,0.001717
138,38.5,0.001872
139,39.5,0.001951
140,40.5,0.001968
141,41.5,0.001947
142,42.5,0.001914
143,43.5,0.001893
144,44.5,0.001903
145,45.5,0.001939
146,46.5,0.0019879999999999
147,47.5,0.002039
148,48.5,0.002082
149,49.5,0.002116
150,50.5,0.002144
151,51.5,0.002166
152,52.5,0.002185
153,53.5,0.0022
154,54.5,0.002215
155,55.5,0.00223
156,56.5,0.002248
157,57.5,0.002268
158,58.5,0.002292
159,59.5,0.002319
160,60.5,0.002349
161,61.5,0.002381
162,62.5,0.002417
163,63.5,0.002455
164,64.5,0.002496
165,65.5,0.002539
166,66.5,0.002584
167,67.5,0.0026309999999999
168,68.5,0.00268
169,69.5,0.002731
170,70.5,0.002783
171,71.5,0.002837
172,72.5,0.002892
173,73.5,0.002948
174,74.5,0.003006
175,75.5,0.003064
176,76.5,0.003123
177,77.5,0.0031829999999999
178,78.5,0.003244
179,79.5,0.003306
180,80.5,0.003368
181,81.5,0.003432
182,82.5,0.003496
183,83.5,0.003561
184,84.5,0.003627
185,85.5,0.003693
186,86.5,0.00376
187,87.5,0.003828
188,88.5,0.003896
189,89.5,0.003965
190,90.5,0.004035
191,91.5,0.004105
192,92.5,0.004176
193,93.5,0.004247
194,94.5,0.004318
195,95.5,0.004391
196,96.5,0.004463
197,97.5,0.004536
198,98.5,0.004609
199,99.5,0.004682
200,100.5,0.004756
201,101.5,0.00483
202,102.5,0.004905
203,103.5,0.004979
204,104.5,0.005054
205,105.5,0.005129
206,106.5,0.005204
207,107.5,0.005279
208,108.5,0.0053549999999999
209,109.5,0.00543
210,110.5,0.0055049999999999
211,111.5,0.00558
212,112.5,0.0056549999999999
213,113.5,0.005729
214,114.5,0.005803
215,115.5,0.005876
216,116.5,0.0059479999999999
217,117.5,0.00602
218,118.5,0.00609
219,119.5,0.00616
220,120.5,0.006229
221,121.5,0.006296
222,122.5,0.006362
223,123.5,0.006426
224,124.5,0.006489
225,125.5,0.006551
226,126.5,0.006611
227,127.5,0.006668
228,128.5,0.0067239999999999
229,129.5,0.006778
230,130.5,0.00683
231,131.5,0.00688
232,132.5,0.006927
233,133.5,0.006972
234,134.5,0.007014
235,135.5,0.007054
236,136.5,0.00709
237,137.5,0.0071239999999999
238,138.5,0.007156
239,139.5,0.007184
240,140.5,0.007209
241,141.5,0.0072299999999999
242,142.5,0.0072489999999999
243,143.5,0.007264
244,144.5,0.007276
